timestamp,status,ear,note
2025-09-19 21:42:00,SLEEPING,0.2068,
2025-09-19 21:42:00,ACTIVE,0.2765,
2025-09-19 21:42:01,DROWSY,0.2311,
2025-09-19 21:42:03,ACTIVE,0.2938,
2025-09-19 21:42:06,SLEEPING,0.1774,
2025-09-19 21:42:07,ACTIVE,0.2911,
2025-09-19 21:42:10,SLEEPING,0.1790,
2025-09-19 21:42:12,ACTIVE,0.2925,
2025-09-19 21:42:20,SLEEPING,0.0791,
2025-09-19 21:42:21,ACTIVE,0.2894,
2025-09-19 21:42:38,SLEEPING,0.1887,
2025-09-19 21:42:44,ACTIVE,0.3400,
2025-09-19 21:42:55,DROWSY,0.2409,
2025-09-19 21:42:57,SLEEPING,0.1964,
2025-09-19 21:42:58,ACTIVE,0.3829,
2025-09-19 21:43:00,SLEEPING,0.1885,
2025-09-19 21:43:03,ACTIVE,0.3033,
2025-09-19 21:43:06,SLEEPING,0.1352,
2025-09-19 21:43:07,ACTIVE,0.2683,
2025-09-19 21:43:14,SLEEPING,0.1627,
2025-09-19 21:43:18,ACTIVE,0.3598,
2025-09-19 21:49:02,Automatic,SLEEPING
2025-09-19 21:49:11,Automatic,SLEEPING
2025-09-19 21:49:18,Automatic,SLEEPING
2025-09-19 21:50:50,Normal,SLEEPING
2025-09-19 21:51:00,Normal,SLEEPING
2025-09-19 21:53:16,Normal,SLEEPING
2025-09-19 21:53:20,Normal,SLEEPING
2025-09-19 21:59:28,Normal,SLEEPING,0.1016
2025-09-19 21:59:29,Normal,ACTIVE,0.2808
2025-09-19 21:59:33,Normal,SLEEPING,0.1100
2025-09-19 21:59:35,Normal,ACTIVE,0.2895
